
[19:02:40.34] Started
[19:03:06.84] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(93)(10)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.92] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(93)(05)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.97] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(95)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.1] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(85)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.5] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.9] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)u@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.12] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)e@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.19] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)`@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.22] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)U@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.25] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)P@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.30] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)E@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.64] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)@@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.67] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)@@(02)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:07.80] OK:(15)0(01)(00)(00)"(11)(03)(00)(FF)(92)@@(02)LOCA(20)FM(20)
[19:03:08.3] OK:(15)0(01)(00)(00)"(11)(01)(00)(FF)(92)@@(03)LOCA(20)FM(20)
[19:03:08.6] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)0@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.9] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)0@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.12] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)%@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.16] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(15)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.19] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(10)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.23] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(05)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.26] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(00)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:08.28] OK:(05):(01)(19)(03)(04)
[19:03:08.73] OK:(15)0(01)(00)(00)(00)(11)(03)(00)(FF)(92)(00)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:09.22] OK:(15)0(01)(00)(00)(00)(11)(01)(00)(FF)(92)(00)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:09.25] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
[19:03:09.61] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(02)MAXIMAFM
[19:03:12.78] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:12.81] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:12.83] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:03:13.34] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:13.38] OK:(15)0(01)(01)(00)(00)(11)(01)(02)(F1)(00)@@(02)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:13.39] OK:(09)2(00)(00)(00)(02)(00)(00)(00)(BE)
[19:03:15.17] OK:(15)0(01)(01)(00)(00)(11)(01)(02)(F1)(00)@@(02)(00)(00)(00)(00)(00)(00)(00)(00)
